GeneSymbol	Description	Organism	Chromosome	Locus	TCGA-AF-2691-01A.41	TCGA-AF-2692-01A.41	TCGA-AF-3400-01A.41	TCGA-AF-3913-01A.12	TCGA-AG-3574-01A.22	TCGA-AG-3580-01A.22	TCGA-AG-3584-01A.22	TCGA-AG-3593-01A.22	TCGA-AG-3594-01A.12	TCGA-AG-4007-01A.22	TCGA-AG-A002-01A.23	TCGA-AG-A008-01A.23	TCGA-AG-A00C-01A.23	TCGA-AG-A00H-01A.22	TCGA-AG-A00H-01A.31	TCGA-AG-A00Y-01A.12	TCGA-AG-A011-01A.32	TCGA-AG-A014-01A.12	TCGA-AG-A015-01A.51	TCGA-AG-A016-01A.23	TCGA-AG-A01J-01A.22	TCGA-AG-A01L-01A.22	TCGA-AG-A01N-01A.23	TCGA-AG-A01W-01A.23	TCGA-AG-A01Y-01A.43	TCGA-AG-A020-01A.23	TCGA-AG-A026-01A.71	TCGA-AG-A02N-01A.31	TCGA-AG-A02X-01A.32	TCGA-AG-A032-01A.31	TCGA-AG-A036-01A.22
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	Homo sapiens	X	Xq13.3	6	4	1	3	1	0	2	1	4	2	1	2	8	1	4	5	3	6	1	3	1	2	5	1	0	0	1	0	0	0	1
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	Homo sapiens	7	7q36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	Homo sapiens	16	16p13.1	1	5	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	4	1	0	0	2	1	0	1	0
ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	Homo sapiens	6	6p21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	Homo sapiens	17	17q22	0	5	0	1	0	3	1	0	8	1	3	3	0	0	7	7	4	0	3	0	0	3	0	2	0	0	1	0	3	0	0
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Homo sapiens	13	13q32	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	Homo sapiens	X	Xq28	2	1	1	1	0	1	1	1	1	2	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	Homo sapiens	1	1p21.3	5	6	4	5	11	11	7	2	9	4	5	7	4	3	9	6	7	4	6	6	3	6	9	4	2	6	5	4	4	1	4
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	Homo sapiens	4	4q31	12	14	5	15	22	21	16	12	14	14	14	12	13	15	17	35	15	15	18	10	15	9	15	9	1	18	17	10	7	14	11
ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	Homo sapiens	6	6p21.33	8	8	1	9	4	5	3	5	5	4	4	10	6	8	9	11	4	7	8	7	4	8	5	4	4	8	9	5	5	4	6
ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	Homo sapiens	7	7q36	0	3	0	0	0	2	8	0	1	0	0	1	0	1	4	4	0	5	1	1	0	0	7	0	0	0	0	0	0	0	1
ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	Homo sapiens	3	3q27.1	1	2	0	2	1	5	2	5	3	2	1	2	2	1	4	3	4	3	3	4	2	2	3	2	0	3	5	4	1	1	2
ABHD10	abhydrolase domain containing 10	Homo sapiens	3	3q13.2	7	9	1	11	5	8	9	10	6	4	10	10	5	4	6	7	8	10	11	6	5	6	6	3	1	7	11	7	2	7	6
ABHD11	abhydrolase domain containing 11	Homo sapiens	7	7q11.23	9	9	14	31	2	4	22	5	10	6	5	6	6	4	14	16	10	18	15	4	18	8	12	3	1	5	12	8	3	8	5
ABHD12	abhydrolase domain containing 12	Homo sapiens	20	20p11.21	1	3	1	2	4	5	0	3	0	2	2	1	3	2	2	4	1	3	0	1	1	3	2	1	0	0	1	0	1	5	1
ABHD14B	abhydrolase domain containing 14B	Homo sapiens	3	3p21.2	0	7	8	4	8	7	8	11	7	4	2	10	9	8	8	7	12	16	9	5	16	10	3	3	10	5	5	7	2	6	6
ABHD16A	abhydrolase domain containing 16A	Homo sapiens	6	6p21.3	3	4	1	3	2	3	3	5	6	2	1	2	1	2	7	4	2	3	10	2	3	6	2	2	1	4	2	0	4	2	2
ABHD5	abhydrolase domain containing 5	Homo sapiens	3	3p21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD6	abhydrolase domain containing 6	Homo sapiens	3	3p14.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABI1	abl-interactor 1	Homo sapiens	10	10p11.2	3	3	2	2	2	3	2	1	4	1	1	3	2	2	4	5	3	2	1	2	3	4	3	3	2	3	3	3	2	1	1
ABI3BP	ABI family, member 3 (NESH) binding protein	Homo sapiens	3	3q12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	5	0	0	0	0	0	0
ABLIM1	actin binding LIM protein 1	Homo sapiens	10	10q25	0	5	1	0	0	0	0	2	5	0	0	6	1	0	6	4	1	1	6	0	1	3	0	0	1	0	2	5	0	6	0
ABR	active BCR-related	Homo sapiens	17	17p13.3	1	2	0	2	2	3	0	0	1	2	3	2	1	1	2	4	0	3	1	6	0	2	2	1	0	0	1	2	0	2	2
ABRACL	ABRA C-terminal like	Homo sapiens	6	6q24.1	5	3	6	2	1	3	3	2	5	5	1	3	3	1	3	1	5	6	5	6	2	5	3	3	5	2	5	5	1	2	5
ACAA1	acetyl-CoA acyltransferase 1	Homo sapiens	3	3p22.2	12	11	5	9	8	14	10	16	15	10	3	9	6	13	24	24	10	11	16	15	12	12	9	7	3	5	14	8	9	4	7
ACAA2	acetyl-CoA acyltransferase 2	Homo sapiens	18	18q21.1	21	46	11	52	8	53	37	47	26	34	26	25	14	23	34	56	19	41	56	21	30	37	33	13	17	12	42	26	4	26	11
ACACA	acetyl-CoA carboxylase alpha	Homo sapiens	17	17q21	1	5	0	2	1	2	1	2	2	2	0	4	4	1	4	4	4	4	1	3	0	2	5	1	0	4	1	1	4	2	0
ACAD10	acyl-CoA dehydrogenase family, member 10	Homo sapiens	12	12q24.12	1	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	3	1	0	1	2	1	0	1	1
ACAD8	acyl-CoA dehydrogenase family, member 8	Homo sapiens	11	11q25	0	0	0	2	3	1	2	1	1	3	0	1	1	3	2	2	2	0	1	1	1	4	6	0	0	0	2	1	0	3	2
ACAD9	acyl-CoA dehydrogenase family, member 9	Homo sapiens	3	3q21.3	7	13	2	18	9	7	11	6	5	8	5	5	6	8	13	13	6	3	3	11	7	8	4	5	2	5	14	3	3	7	6
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Homo sapiens	1	1p31	7	10	4	3	5	6	3	12	7	4	3	7	9	10	6	8	9	8	14	4	6	8	6	5	7	6	4	5	7	3	6
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Homo sapiens	12	12q24.31	4	6	0	4	2	4	6	4	9	4	5	11	3	5	12	7	7	0	10	3	4	11	0	6	0	1	3	2	0	3	2
ACADSB	acyl-CoA dehydrogenase, short/branched chain	Homo sapiens	10	10q26.13	5	3	3	0	13	6	10	5	6	5	5	7	4	4	7	7	5	7	6	6	12	4	12	6	2	2	15	3	1	3	4
ACADVL	acyl-CoA dehydrogenase, very long chain	Homo sapiens	17	17p13.1	21	36	14	26	39	53	24	30	38	31	33	38	14	36	37	37	35	52	37	30	40	39	19	21	39	25	37	18	20	19	19
ACAN	aggrecan	Homo sapiens	15	15q26.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Homo sapiens	3	3q29	0	1	1	1	1	0	1	2	4	1	2	0	0	4	2	1	0	1	0	1	1	0	3	0	0	0	1	1	0	0	1
ACAT1	acetyl-CoA acetyltransferase 1	Homo sapiens	11	11q22.3	5	21	19	30	26	16	28	42	27	17	26	22	23	19	36	29	23	19	26	15	26	23	58	23	28	11	51	15	19	20	16
ACAT2	acetyl-CoA acetyltransferase 2	Homo sapiens	6	6q25.3	0	0	0	0	15	3	0	0	1	0	0	3	0	2	3	2	1	2	0	0	0	1	0	0	0	1	0	0	0	1	1
ACBD3	acyl-CoA binding domain containing 3	Homo sapiens	1	1q42.12	10	8	5	6	7	5	9	6	14	4	2	11	6	7	9	10	7	4	16	3	4	4	7	5	0	5	6	3	6	4	5
ACBD5	acyl-CoA binding domain containing 5	Homo sapiens	10	10p12.1	0	2	0	0	2	0	2	0	4	0	2	0	0	0	1	3	0	0	0	0	1	0	4	0	0	1	2	2	0	0	0
ACE	angiotensin I converting enzyme	Homo sapiens	17	17q23.3	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	1	2	0	1	0	0	0	0	0	0	0	0
ACE2	angiotensin I converting enzyme 2	Homo sapiens	X	Xp22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	2	0	0	0	0	4	1	0	0	1	0	0	1	0
ACIN1	apoptotic chromatin condensation inducer 1	Homo sapiens	14	14q11.2	5	12	2	7	4	11	9	5	9	3	9	7	3	3	10	10	8	13	11	5	5	4	11	5	1	3	9	10	2	8	4
ACLY	ATP citrate lyase	Homo sapiens	17	17q21.2	20	47	24	34	54	27	35	33	31	41	20	29	16	30	43	48	30	37	29	32	28	19	26	16	17	25	19	30	26	21	23
ACO1	aconitase 1, soluble	Homo sapiens	9	9p21.1	4	24	21	21	12	16	23	16	19	16	18	23	14	26	25	23	25	19	20	18	28	24	10	17	25	22	8	18	14	17	24
ACO2	aconitase 2, mitochondrial	Homo sapiens	22	22q13.2	33	51	21	50	49	55	46	25	70	31	43	49	44	56	63	67	50	56	66	34	69	49	45	37	54	24	38	43	24	57	43
ACOT1	acyl-CoA thioesterase 1	Homo sapiens	14	14q24.3	3	6	1	4	10	6	8	1	9	7	1	7	1	1	4	8	7	13	6	6	8	15	9	4	19	2	5	4	6	1	10
ACOT11	acyl-CoA thioesterase 11	Homo sapiens	1	1p32.3	1	3	1	1	0	6	1	5	1	2	0	3	2	0	7	5	3	4	8	2	2	3	4	1	0	1	0	0	0	0	1
ACOT13	acyl-CoA thioesterase 13	Homo sapiens	6	6p22.3	2	6	0	9	3	9	7	4	8	9	5	6	7	3	8	5	4	6	7	7	8	9	11	4	4	4	8	1	4	7	4
ACOT7	acyl-CoA thioesterase 7	Homo sapiens	1	1p36	2	13	10	8	10	5	5	2	13	5	3	6	6	8	10	8	6	8	11	4	8	4	6	4	5	6	9	5	3	5	4
ACOT8	acyl-CoA thioesterase 8	Homo sapiens	20	20q13.12	2	3	1	6	1	4	5	6	1	1	0	2	2	1	7	6	0	3	4	5	1	2	4	1	0	3	7	0	1	3	0
ACOT9	acyl-CoA thioesterase 9	Homo sapiens	X	Xp22.11	1	11	6	13	5	0	4	6	6	6	2	3	5	5	11	14	5	20	7	4	8	9	12	4	7	3	15	5	1	8	5
ACOX1	acyl-CoA oxidase 1, palmitoyl	Homo sapiens	17	17q25.1	9	7	0	8	7	8	5	7	6	5	1	1	3	4	6	3	4	8	3	1	3	3	3	3	0	4	9	2	0	6	0
ACOX2	acyl-CoA oxidase 2, branched chain	Homo sapiens	3	3p14.3	0	6	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	3	1	0	1	0	0	0	0	0	0
ACOX3	acyl-CoA oxidase 3, pristanoyl	Homo sapiens	4	4p15.3	0	4	0	0	1	1	2	0	0	2	1	0	2	1	1	0	1	0	2	1	0	1	0	1	0	1	2	0	0	1	0
ACP1	acid phosphatase 1, soluble	Homo sapiens	2	2p25	8	9	12	12	8	12	6	11	11	5	14	12	11	10	10	13	8	13	12	10	11	11	12	9	9	10	13	11	6	11	10
ACP2	acid phosphatase 2, lysosomal	Homo sapiens	11	11p11.2|11p12-p11	0	1	2	1	1	1	0	0	1	0	2	2	0	1	1	1	2	0	1	0	1	0	2	1	0	1	0	0	1	0	1
ACP5	acid phosphatase 5, tartrate resistant	Homo sapiens	19	19p13.2	0	0	0	0	1	0	0	0	1	1	2	0	0	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1
ACP6	acid phosphatase 6, lysophosphatidic	Homo sapiens	1	1q21	0	1	0	0	0	0	1	0	0	1	0	0	2	1	0	0	1	2	0	1	0	0	1	0	0	0	0	1	0	0	0
ACSF2	acyl-CoA synthetase family member 2	Homo sapiens	17	17q21.33	4	0	0	1	1	4	4	3	2	6	0	1	1	1	2	3	4	9	0	5	8	5	12	0	0	0	15	0	0	3	1
ACSF3	acyl-CoA synthetase family member 3	Homo sapiens	16	16q24.3	5	5	1	5	0	2	5	4	4	4	3	6	3	6	6	6	4	9	9	3	4	3	13	5	1	4	10	3	1	4	4
ACSL1	acyl-CoA synthetase long-chain family member 1	Homo sapiens	4	4q35	0	8	9	1	2	1	3	3	4	5	17	2	8	9	8	5	8	10	3	9	6	5	10	3	6	5	7	16	1	4	3
ACSL3	acyl-CoA synthetase long-chain family member 3	Homo sapiens	2	2q34-q35	3	9	3	8	8	3	6	7	7	7	7	13	10	7	11	10	6	8	11	9	4	15	7	10	1	12	6	4	3	9	5
ACSL4	acyl-CoA synthetase long-chain family member 4	Homo sapiens	X	Xq22.3-q23	3	15	1	0	1	2	9	5	5	3	3	0	3	5	6	6	2	8	4	4	1	1	8	2	1	3	10	3	1	2	2
ACSL5	acyl-CoA synthetase long-chain family member 5	Homo sapiens	10	10q25.1-q25.2	50	29	5	23	0	26	24	17	18	8	6	18	26	11	31	15	18	17	29	16	19	11	21	20	0	8	44	8	5	26	15
ACSM3	acyl-CoA synthetase medium-chain family member 3	Homo sapiens	16	16p13.11	0	0	0	0	0	5	5	0	3	0	0	2	1	1	4	2	0	0	1	1	2	0	3	0	0	0	0	0	0	0	0
ACSS1	acyl-CoA synthetase short-chain family member 1	Homo sapiens	20	20p11.23-p11.21	4	4	2	5	5	3	2	10	2	4	3	8	6	6	14	8	12	10	7	7	1	9	2	4	0	7	3	8	2	7	6
ACSS2	acyl-CoA synthetase short-chain family member 2	Homo sapiens	20	20q11.22	2	3	4	1	0	2	8	8	6	5	2	7	3	2	11	10	6	5	5	6	5	1	11	4	0	6	4	4	2	8	3
ACSS3	acyl-CoA synthetase short-chain family member 3	Homo sapiens	12	12q21.31	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ACTA2	actin, alpha 2, smooth muscle, aorta	Homo sapiens	10	10q23.3	1	12	6	17	6	6	13	16	14	8	8	10	8	16	26	25	7	8	10	8	19	15	33	8	20	7	11	6	7	9	26
ACTB	actin, beta	Homo sapiens	7	7p22	73	276	228	601	741	205	243	469	466	102	351	258	76	1045	516	779	195	291	590	110	816	327	647	129	464	225	412	131	110	128	132
ACTBL2	actin, beta-like 2	Homo sapiens	5	5q11.2	1	3	3	6	4	5	0	1	0	4	4	8	4	14	5	9	11	7	7	4	2	7	5	5	12	13	5	2	8	6	2
ACTG2	actin, gamma 2, smooth muscle, enteric	Homo sapiens	2	2p13.1	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	15	0	2	0	0	0	3
ACTL6A	actin-like 6A	Homo sapiens	3	3q26.33	3	11	1	17	5	3	6	11	9	6	5	8	2	6	7	10	3	11	6	3	5	11	16	5	2	8	11	9	4	1	6
ACTL8	actin-like 8	Homo sapiens	1	1p36.2-p35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	actinin, alpha 1	Homo sapiens	14	14q24|14q22-q24	52	233	107	205	93	72	129	77	110	93	61	81	41	148	80	116	76	109	96	74	147	94	99	51	408	50	97	46	55	53	134
ACTN4	actinin, alpha 4	Homo sapiens	19	19q13	145	143	97	197	97	161	259	189	191	124	160	134	111	158	257	212	117	201	286	122	218	121	135	102	109	130	199	155	113	137	114
ACTR10	actin-related protein 10 homolog (S. cerevisiae)	Homo sapiens	14	14q23.1	1	0	1	1	2	0	1	0	2	1	1	0	0	2	0	1	0	1	0	3	0	0	1	1	1	0	0	0	0	0	1
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	Homo sapiens	10	10q24.32	10	11	6	5	13	9	9	10	9	7	9	8	6	10	10	6	8	13	8	7	12	12	4	4	10	8	1	10	7	8	8
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	Homo sapiens	2	2q11.1-q11.2	3	5	1	3	5	4	4	3	6	2	6	5	2	6	5	5	4	3	4	2	5	4	2	4	1	4	0	2	3	5	4
ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Homo sapiens	2	2p14	17	63	27	47	39	19	22	28	36	23	18	31	14	52	28	39	24	38	33	15	42	37	33	17	32	21	25	13	12	19	17
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Homo sapiens	2	2q14.1	44	56	39	47	43	36	41	45	40	42	31	35	25	60	44	49	38	48	39	27	51	52	42	26	34	38	39	37	28	33	33
ACY1	aminoacylase 1	Homo sapiens	3	3p21.1	0	9	2	1	15	4	0	5	0	1	1	4	2	0	1	4	5	4	8	1	1	6	3	2	0	3	3	3	3	0	3
ACYP1	acylphosphatase 1, erythrocyte (common) type	Homo sapiens	14	14q24.3	2	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	3	0	2	0	3	0	0	1	0	0	0	2	0	0
ADA	adenosine deaminase	Homo sapiens	20	20q13.12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
ADAM10	ADAM metallopeptidase domain 10	Homo sapiens	15	15q22	1	2	1	1	4	2	3	2	6	1	2	2	2	2	5	2	4	3	3	2	3	2	2	1	1	2	2	2	0	1	1
ADAM15	ADAM metallopeptidase domain 15	Homo sapiens	1	1q21.3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM19	ADAM metallopeptidase domain 19	Homo sapiens	5	5q33.3	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1
ADAM9	ADAM metallopeptidase domain 9	Homo sapiens	8	8p11.22	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
ADAMDEC1	ADAM-like, decysin 1	Homo sapiens	8	8p21.2	0	1	3	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1
ADAR	adenosine deaminase, RNA-specific	Homo sapiens	1	1q21.3	12	20	3	8	9	10	14	17	18	7	8	9	5	3	11	27	14	13	20	6	8	5	16	10	4	11	26	11	4	8	8
ADCK1	aarF domain containing kinase 1	Homo sapiens	14	14q24.3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ8A	aarF domain containing kinase 3	Homo sapiens	1	1q42.13	2	3	0	0	0	1	6	5	3	3	2	2	4	1	7	10	4	4	14	3	2	6	15	3	2	1	16	2	2	3	6
COQ8B	aarF domain containing kinase 4	Homo sapiens	19	19q13.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
ADCK5	aarF domain containing kinase 5	Homo sapiens	8	8q24.3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ADD1	adducin 1 (alpha)	Homo sapiens	4	4p16.3	10	11	3	12	22	11	16	12	10	5	7	13	8	11	16	14	8	12	15	10	15	13	17	11	7	7	17	11	6	9	8
ADD3	adducin 3 (gamma)	Homo sapiens	10	10q25.2	3	6	0	4	13	3	8	4	6	6	5	7	7	6	7	7	6	8	8	2	13	7	14	2	2	3	4	5	3	4	5
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	Homo sapiens	4	4q23	0	0	0	0	1	8	11	3	12	2	0	7	1	11	7	7	3	4	2	0	28	15	2	2	17	0	0	0	2	1	4
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	Homo sapiens	4	4q23	0	2	0	0	0	0	13	0	14	2	2	3	0	7	10	10	6	12	0	0	18	10	0	4	0	0	7	1	2	1	0
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	Homo sapiens	4	4q22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	Homo sapiens	4	4q23	1	18	4	12	21	15	16	14	22	9	14	20	9	19	17	16	20	14	19	9	25	18	18	12	34	7	13	7	1	6	15
ADH6	alcohol dehydrogenase 6 (class V)	Homo sapiens	4	4q23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADI1	acireductone dioxygenase 1	Homo sapiens	2	2p25.3	0	2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
ADIRF	adipogenesis regulatory factor	Homo sapiens	10	10q23.2	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0
ADK	adenosine kinase	Homo sapiens	10	10q22|10q11-q24	1	2	3	4	8	3	6	2	3	2	1	4	4	3	2	5	2	13	5	6	6	3	3	1	1	7	9	1	0	1	3
ADNP	activity-dependent neuroprotector homeobox	Homo sapiens	20	20q13.13	3	5	0	3	2	2	4	2	0	3	3	1	3	0	3	4	0	2	5	3	1	2	13	2	0	2	8	3	1	2	1
ADPGK	ADP-dependent glucokinase	Homo sapiens	15	15q24.1	1	1	0	0	0	3	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
